iso3,name,target,predicted,residual,quant_score,qual_score,cof_contribution,cof_raw,debt_service_ratio_contribution,debt_service_ratio_raw,gdp_capita_contribution,gdp_capita_raw,pr_contribution,pr_raw,rol_contribution,rol_raw
ALB,ALBANIA,0.637901514595081,-0.5049985472390108,1.1429000618340919,-1.4847631770770469,-0.4721790381692212,-0.5741355470588213,5.6,-0.504338165994657,6.5,-0.4062894640235686,4020.0,-0.14505082084586413,6.0,0.06547862937247238,-0.437525047560993
ARG,ARGENTINA,0.830675233724683,-0.4965747221079675,1.3272499558326505,-1.4847631770770469,-0.4515061419346233,-0.5741355470588213,9.98,-0.504338165994657,9.3,-0.4062894640235686,10800.0,-0.14505082084586413,6.0,0.08615152560707032,-0.575660344450217
ARM,ARMENIA,0.538190970217707,-0.4734350578804414,1.0116260280981484,-1.4847631770770469,-0.3947191277175036,-0.5741355470588213,7.693,-0.504338165994657,15.7,-0.4062894640235686,3350.0,-0.07252541042293206,3.0,0.07041312940125795,-0.470497139073522
AUS,AUSTRALIA,-1.54243572245691,-0.6631451008679006,-0.8792906215890095,-1.5904160670284293,-0.6817045886626337,-0.5741355470588213,4.7,-0.6099910559460395,72.2,-0.4062894640235686,64110.0,-0.02417513680764402,1.0,-0.26492260515916016,1.77020008715963
AUT,AUSTRIA,-1.50255150470596,-0.5919466117213413,-0.9106048929846188,-1.4847631770770469,-0.6855581488321861,-0.5741355470588213,1.4,-0.504338165994657,0.300866399609318,-0.4062894640235686,49640.0,-0.02417513680764402,1.0,-0.2687761653287127,1.79594939059834
AZE,AZERBAIJAN,0.903796299601426,-0.4778385355452949,1.381634835146721,-1.4847631770770469,-0.40552569544899814,-0.5741355470588213,5.3,-0.504338165994657,2.6,-0.4062894640235686,6340.0,-0.14505082084586413,6.0,0.13213197209269545,-0.882899473129297
BHR,BAHRAIN,-0.299377602552267,-0.5590745020605574,0.25969689950829045,-1.4847631770770469,-0.6048867553193502,-0.5741355470588213,0.3,-0.504338165994657,8.2,-0.4062894640235686,15600.0,-0.14505082084586413,6.0,-0.06722908777765654,0.449221526310191
BLR,BELARUS,0.591369927218976,-0.40114037264905705,0.9925102998680331,-1.3878223700434844,-0.3811567628222797,-0.4771947400252589,45.0,-0.504338165994657,6.6,-0.4062894640235686,5830.0,-0.14505082084586413,6.0,0.15650090471941389,-1.04573150716387
BEL,BELGIUM,1.49541219624054,-0.5874633286630853,2.082875524903625,-1.4847631770770469,-0.6745557308080862,-0.5741355470588213,1.4,-0.504338165994657,0.207643349855891,-0.4062894640235686,49090.0,-0.07252541042293206,3.0,-0.20942347368932468,1.39935756390208
BRA,BRAZIL,-2.0409884443438,-0.5357562766651729,-1.505232167678627,-1.5191079201403672,-0.48960972616171716,-0.6084802901221417,11.7,-0.504338165994657,14.4018,-0.4062894640235686,13040.0,-0.09670054723057608,4.0,-0.00030233223531163925,0.00202016943393071
BGR,BULGARIA,-1.24995145894994,-0.5798602797168891,-0.670091179233051,-1.5904160670284293,-0.4773154377973106,-0.5741355470588213,0.198,-0.6099910559460395,19.3,-0.4062894640235686,7400.0,-0.09670054723057608,4.0,0.01199195612909495,-0.0801296732386611
CAN,CANADA,0.106111944582399,-0.5915270079168351,0.6976389524992341,-1.4847631770770469,-0.6845283997840688,-0.5741355470588213,1.17,-0.504338165994657,0.160312701327283,-0.4062894640235686,50660.0,-0.02417513680764402,1.0,-0.26774641628059526,1.78906865705869
CHL,CHILE,-0.851109281440429,-0.5709379021290377,-0.28017137931139124,-1.4847631770770469,-0.6340007070918559,-0.5741355470588213,5.25,-0.504338165994657,11.4816,-0.4062894640235686,13700.0,-0.04835027361528804,2.0,-0.19304358678073832,1.2899079485481
COL,COLOMBIA,-0.751398737063049,-0.49168925446378464,-0.2597094825992644,-1.4847631770770469,-0.43951672333979913,-0.5741355470588213,4.033,-0.504338165994657,14.0541,-0.4062894640235686,6940.0,-0.09670054723057608,4.0,0.0497906705866064,-0.332698862594963
CRI,COSTA-RICA,-1.47596202620533,-0.5671330550688106,-0.9088289711365193,-1.5347036719532363,-0.5402504347322197,-0.6240760419350108,21.0,-0.504338165994657,6.1,-0.4062894640235686,8660.0,-0.07252541042293206,3.0,-0.07511817761345821,0.501936044599622
HRV,CROATIA,-1.74185681121167,-0.6059564067628734,-1.1359004044487966,-1.5904160670284293,-0.541357902847829,-0.5741355470588213,0.9,-0.6099910559460395,39.6,-0.4062894640235686,14310.0,-0.1208756840382201,5.0,-0.027875372113779412,0.186261893792619
CYP,CYPRUS,-0.804577694064318,-0.5745922262409902,-0.22998546782332785,-1.4847631770770469,-0.6429687782470348,-0.5741355470588213,1.391,-0.504338165994657,9.7,-0.4062894640235686,30480.0,-0.07252541042293206,3.0,-0.17783652112827336,1.1882950683363
CZE,CZECH REPUBLIC,-1.09041458794614,-0.5503918880642849,-0.5400226998818551,-1.4847631770770469,-0.5835787657305658,-0.5741355470588213,1.2,-0.504338165994657,10.3,-0.4062894640235686,20720.0,-0.04835027361528804,2.0,-0.14262164541944833,0.952990965043089
DNK,DENMARK,-1.70197259346072,-0.5969594074846408,-1.105013185976079,-1.4847631770770469,-0.6978600431673417,-0.5741355470588213,1.058,-0.504338165994657,0.249678706344089,-0.4062894640235686,59680.0,-0.02417513680764402,1.0,-0.28107805966386823,1.87815005600112
ECU,ECUADOR,-1.28983567670089,-0.47040809275145395,-0.819427583949436,-1.4847631770770469,-0.3872906572728003,-0.5741355470588213,6.0,-0.504338165994657,8.081,-0.4062894640235686,4620.0,-0.16922595765350815,7.0,0.17454214707653729,-1.16628221960255
EST,ESTONIA,-0.957467195442961,-0.5721609741260234,-0.3853062213169376,-1.4847631770770469,-0.6370022461893319,-0.5741355470588213,2.0,-0.504338165994657,10.6,-0.4062894640235686,16840.0,-0.07252541042293206,3.0,-0.17186998907057036,1.14842698851638
FIN,FINLAND,0.106111944582399,-0.6026276969565882,0.7087396415389873,-1.4847631770770469,-0.711770583599788,-0.5741355470588213,0.8,-0.504338165994657,0.288292724009925,-0.4062894640235686,50310.0,-0.02417513680764402,1.0,-0.29498860009631445,1.97109961714242
FRA,FRANCE,-0.179724949299413,-0.5753872071155304,0.3956622578161174,-1.4847631770770469,-0.6449197395825564,-0.5741355470588213,1.4,-0.504338165994657,0.410801413269026,-0.4062894640235686,43890.0,-0.02417513680764402,1.0,-0.22813775607908288,1.52440549742054
GEO,GEORGIA,-1.71526733271104,-0.5090719996792599,-1.20619533303178,-1.4847631770770469,-0.48217569150708683,-0.5741355470588213,8.25,-0.504338165994657,0.0399792108103786,-0.4062894640235686,3070.0,-0.1208756840382201,5.0,0.03130683922696272,-0.209190791759605
DEU,GERMANY,-0.252846015176162,-0.5817006301683658,0.3288546149922038,-1.4847631770770469,-0.6604135013387697,-0.5741355470588213,1.391,-0.504338165994657,0.254822565310348,-0.4062894640235686,43820.0,-0.02417513680764402,1.0,-0.24363151783529627,1.62793406718831
