iso3,name,region,as_of_year,hdi_value,segment
AFG,AFGHANISTAN,EMERGING_NON_AFRICA,2011,0.45,LOW
ALB,ALBANIA,EMERGING_NON_AFRICA,2011,0.75,HIGH
DZA,ALGERIA,AFRICA,2011,0.6,NODATA
AGO,ANGOLA,AFRICA,2011,0.45,LOW
ATG,ANTIGUA AND BARBUDA,EMERGING_NON_AFRICA,2011,0.75,NODATA
ARG,ARGENTINA,EMERGING_NON_AFRICA,2011,0.6,HIGH
ARM,ARMENIA,EMERGING_NON_AFRICA,2011,0.75,HIGH
AUS,AUSTRALIA,DEVELOPED,2011,0.9,HIGH
AUT,AUSTRIA,DEVELOPED,2011,0.9,HIGH
AZE,AZERBAIJAN,EMERGING_NON_AFRICA,2011,0.6,HIGH
BHS,BAHAMAS,EMERGING_NON_AFRICA,2011,0.75,NODATA
BHR,BAHRAIN,EMERGING_NON_AFRICA,2011,0.75,HIGH
BGD,BANGLADESH,EMERGING_NON_AFRICA,2011,0.45,LOW
BRB,BARBADOS,DEVELOPED,2011,0.9,NODATA
BLR,BELARUS,EMERGING_NON_AFRICA,2011,0.75,HIGH
BEL,BELGIUM,DEVELOPED,2011,0.9,HIGH
BLZ,BELIZE,EMERGING_NON_AFRICA,2011,0.75,NODATA
BMU,BERMUDA,DEVELOPED,2011,0.9,NODATA
BOL,"BOLIVIA, PLURINATIONAL STATE OF",EMERGING_NON_AFRICA,2011,0.45,LOW
BIH,BOSNIA AND HERZEGOVINA,EMERGING_NON_AFRICA,2011,0.75,HIGH
BWA,BOTSWANA,AFRICA,2011,0.6,LOW
BRA,BRAZIL,EMERGING_NON_AFRICA,2011,0.75,HIGH
BGR,BULGARIA,EMERGING_NON_AFRICA,2011,0.75,HIGH
BFA,BURKINA FASO,AFRICA,2011,0.45,LOW
KHM,CAMBODIA,EMERGING_NON_AFRICA,2011,0.6,LOW
CMR,CAMEROON,AFRICA,2011,0.45,LOW
CAN,CANADA,DEVELOPED,2011,0.9,HIGH
CYM,CAYMAN ISLANDS,EMERGING_NON_AFRICA,2011,0.9,NODATA
CAF,CENTRAL AFRICAN REPUBLIC,AFRICA,2011,0.45,NODATA
CHL,CHILE,EMERGING_NON_AFRICA,2011,0.9,HIGH
CHN,CHINA,EMERGING_NON_AFRICA,2011,0.6,LOW
COL,COLOMBIA,EMERGING_NON_AFRICA,2011,0.75,HIGH
COG,CONGO,AFRICA,2011,0.45,LOW
COD,"CONGO, THE DEMOCRATIC REP OF THE",AFRICA,2011,0.45,LOW
CRI,COSTA-RICA,EMERGING_NON_AFRICA,2011,0.75,HIGH
CIV,COTE D'IVOIRE,AFRICA,2011,0.6,LOW
HRV,CROATIA,EMERGING_NON_AFRICA,2011,0.75,HIGH
CUB,CUBA,EMERGING_NON_AFRICA,2011,0.75,HIGH
CYP,CYPRUS,DEVELOPED,2011,0.9,HIGH
CZE,CZECH REPUBLIC,EMERGING_NON_AFRICA,2011,0.9,HIGH
DNK,DENMARK,DEVELOPED,2011,0.9,HIGH
DOM,DOMINICAN REPUBLIC,EMERGING_NON_AFRICA,2011,0.6,LOW
ECU,ECUADOR,EMERGING_NON_AFRICA,2011,0.6,HIGH
EGY,EGYPT,EMERGING_NON_AFRICA,2011,0.6,LOW
SLV,EL SALVADOR,EMERGING_NON_AFRICA,2011,0.6,LOW
EST,ESTONIA,EMERGING_NON_AFRICA,2011,0.9,HIGH
ETH,ETHIOPIA,AFRICA,2011,0.45,LOW
FJI,FIJI,EMERGING_NON_AFRICA,2011,0.6,LOW
FIN,FINLAND,DEVELOPED,2011,0.9,HIGH
FRA,FRANCE,DEVELOPED,2011,0.9,HIGH
GAB,GABON,AFRICA,2011,0.6,NODATA
GEO,GEORGIA,EMERGING_NON_AFRICA,2011,0.75,HIGH
DEU,GERMANY,DEVELOPED,2011,0.9,HIGH
GHA,GHANA,AFRICA,2011,0.6,LOW
GIB,GIBRALTAR,DEVELOPED,2011,0.9,NODATA
GRC,GREECE,DEVELOPED,2011,0.75,HIGH
GTM,GUATEMALA,EMERGING_NON_AFRICA,2011,0.6,LOW
GGY,GUERNSEY,DEVELOPED,2011,0.9,NODATA
HND,HONDURAS,EMERGING_NON_AFRICA,2011,0.6,LOW
HKG,HONG KONG,DEVELOPED,2011,0.9,HIGH
HUN,HUNGARY,EMERGING_NON_AFRICA,2011,0.75,HIGH
ISL,ICELAND,DEVELOPED,2011,0.9,HIGH
IND,INDIA,EMERGING_NON_AFRICA,2011,0.6,LOW
IDN,INDONESIA,EMERGING_NON_AFRICA,2011,0.6,LOW
IRN,"IRAN, ISLAMIC REPUBLIC OF",EMERGING_NON_AFRICA,2011,0.75,NODATA
IRQ,IRAQ,EMERGING_NON_AFRICA,2011,0.45,LOW
IRL,IRELAND,DEVELOPED,2011,0.9,HIGH
IMN,ISLE OF MAN,DEVELOPED,2011,0.9,NODATA
ISR,ISRAEL,EMERGING_NON_AFRICA,2011,0.75,HIGH
ITA,ITALY,DEVELOPED,2011,0.9,HIGH
JAM,JAMAICA,EMERGING_NON_AFRICA,2011,0.6,HIGH
JPN,JAPAN,DEVELOPED,2011,0.9,HIGH
JEY,JERSEY,DEVELOPED,2011,0.9,NODATA
JOR,JORDAN,EMERGING_NON_AFRICA,2011,0.6,LOW
KAZ,KAZAKHSTAN,EMERGING_NON_AFRICA,2011,0.75,HIGH
KEN,KENYA,AFRICA,2011,0.6,LOW
PRK,"KOREA, DEMOCRATIC PEOPLE'S REP OF",EMERGING_NON_AFRICA,2011,0.45,NODATA
