iso3,name,segment,eiu_score,dcpi_5_adj,nom_rir_vol,gdp_capita,growth_vol,macro_var,atf,dt,fdg_3yr,cof,pr,rol,db,sr,debt_service_ratio
AFG,AFGHANISTAN,LOW,0.61131203609445,7.9105,1.49240934956421,,8.67077026566845,7.3297636643182,3,-24.3630528862679,13.459758586141,,7,-1.89762360206483,84.1530054644809,4.75,
DZA,ALGERIA,LOW,0.352064620713269,4.8714,0,5680,0.427784992724151,36.7,1,-51.2416506721971,1.91475012130034,1.06,5,-0.758924148781615,78.1420765027323,3.5,1.7
AGO,ANGOLA,LOW,0.644548884220239,13.3116,3.65039997808459,5330,8.47350890717653,7.7,3,-21.1263988592706,17.3601973684211,,5,-1.2437800769287,93.4426229508197,3.5,8.9
BGD,BANGLADESH,LOW,1.22287004160903,8.453,1.60064986802237,649,0.350624442958568,3,3,-12.1781166468841,23.3917820381211,5,3,-0.768461544155064,64.4808743169399,3.75,3.4
BOL,"BOLIVIA, PLURINATIONAL STATE OF",LOW,-0.538682909057974,7.6888,1.57727343856415,2220,1.02148602535718,17.6,3,-23.0631661149664,25.9618357701312,1.8,6,-1.06493059227547,80.327868852459,3.25,4.8
BWA,BOTSWANA,LOW,1.03674369210459,8.6532,2.5826885216766,8450,4.729423358085,13.5,1,-17.2576936741414,11.6631193094478,9.5,3,0.663411023908326,28.4153005464481,1.5,2.1
BFA,BURKINA FASO,LOW,0.219117228210094,2.9946,,597,1.86875675249616,4.5,3,15.8169909642309,22.680157946693,3.3,5,-0.213926589614947,82.5136612021858,3,3.3
KHM,CAMBODIA,LOW,0.817380494474362,8.3,0.377141485387135,829,3.64025140615315,5.3,4,113.694920452367,5.69976359338062,,6,-1.08761051973512,75.4098360655738,2.75,0.5
CMR,CAMEROON,LOW,0.837322603349841,2.6956,0.447213595499945,1280,0.776530746332687,5,3,-9.21514455526531,12.0561070018779,4,6,-1.04365441176571,90.1639344262295,3.25,6.5
CHN,CHINA,LOW,1.92084385225068,3.7426,0.929946235005011,5340,2.10376800051717,20.313,1,9.30824847726644,9.31901602155111,5.3,4,-0.346839923024153,47.5409836065574,2.5,1.7
COG,CONGO,LOW,1.02344895285428,5.2052,0.178885438200092,4100,4.01417737525386,9.2,5,-23.6484994792074,31.9428066037736,,7,-1.13300831165828,98.3606557377049,3.75,1.9
COD,"CONGO, THE DEMOCRATIC REP OF THE",LOW,0.71102258047183,24.0892,9.35835328463286,240,2.59557315443044,1.3332604028498,4,-21.2225989590986,88.5558876270173,17,7,-1.61195103205823,96.1748633879781,4.5,2.1
CIV,COTE D'IVOIRE,LOW,1.05668580098007,2.7982,0.223606797749973,1050,3.88267854708576,4.6,5,-3.74589732691957,49.7308684436801,4.3,6,-1.21793628521688,92.896174863388,4.5,4.3
DOM,DOMINICAN REPUBLIC,LOW,0.418538316964854,6.6036,3.05359951532613,5780,2.21649604105218,1.7,1,12.991149292355,26.3331029226706,7.5,6,-0.807157286892191,57.3770491803279,2.5,8
EGY,EGYPT,LOW,0.937033147727215,12.174,0.579138757121277,2680,2.20100095411156,3.5,2,-16.8147121335358,14.7929467762873,12.5,6,-0.108965610483131,59.016393442623,2.75,7.8
SLV,EL SALVADOR,LOW,0.338769881462948,3.7298,1.10694624982426,3610,2.42075353970618,2.8,1,10.980115360082,54.2626748641183,2.6,4,-0.871212260321391,61.2021857923497,3.75,9.5
ETH,ETHIOPIA,LOW,0.378654099213901,22.2468,3.97676976954915,408,1.58918903847213,2.4,5,45.3389642826037,25.6706298200514,0.9,7,-0.75555567562464,56.8306010928962,4.25,3.5
FJI,FIJI,LOW,0.837322603349841,6.0126,0.62043758751386,4680,1.79916647367607,4.0583002446296,3,-23.9380429734004,6.36090977255686,1.5,7,-0.90329831640048,39.344262295082,3,10.8
GAB,GABON,LOW,1.20957530235872,3.1084,0,10700,3.17260476580364,5.7,5,-27.8844994436157,14.0305810397553,4.25,6,-0.512964117316663,87.4316939890711,3,3.4
GHA,GHANA,LOW,0.704375210846666,13.1828,5.14222908863461,1500,3.53768872288108,3,2,-8.91300867784237,20.0588883809729,14,3,-0.0717368103332713,32.7868852459016,2,1.9
GTM,GUATEMALA,LOW,0.445127795465485,6.0224,0.363496905076219,3310,2.06967086755358,4.2,1,-12.0822913075551,32.1137728232136,5.2,4,-1.03657547025345,50.8196721311475,3.75,12.1
HND,HONDURAS,LOW,1.86766489524941,7.0592,1.07278609237813,2190,3.10979602224969,2.8,2,3.28731835440354,26.7681278646139,11,6,-0.870807412532797,71.0382513661202,3.75,3.7
IND,INDIA,LOW,-0.146488101173624,9.2938,1.69903496138249,1570,2.39212443238223,6.9,1,-15.4475622762857,15.7132961783439,8.5,2,-0.0577693643910115,75.9562841530055,3.5,11.1
IDN,INDONESIA,LOW,1.34917006448704,6.3048,0.849490435496477,3450,0.746257529275246,7,2,-35.6989873084418,18.7738099455604,5.6,5,-0.630054695741033,68.8524590163935,2.75,10.9
IRQ,IRAQ,LOW,1.33587532523673,8.1344,6.37965516309463,4880,2.71937492817743,13.1,4,-47.2578439554488,32.3289606843482,,6,-1.61838711221196,86.8852459016394,4,5.3
JOR,JORDAN,LOW,1.04339106172975,5.8146,0.208158593384942,4480,2.0866014952549,7.4,2,-15.5432280990627,23.8043294149531,2.5,5,0.219381017421995,51.9125683060109,2.75,5.1
KEN,KENYA,LOW,0.225764597835252,10.641,0.917485694711383,845,2.20594016237975,4,3,-4.86195299468668,25.4549334243769,4,6,-1.01137170236159,57.9234972677596,3.75,4.9
PRK,"KOREA, DEMOCRATIC PEOPLE'S REP OF",LOW,0.15264353195851,,,,1.94113368936815,0.6849147703225,6,-1.34359403032197,56.114254727682,,7,-1.29745179350725,,2.75,
KGZ,KYRGYZSTAN,LOW,0.391948838464217,13.2248,4.97471775078749,1040,4.2320684658923,4.4,4,-28.2838517510663,62.4471403812825,8.3,6,-1.29170655726007,36.6120218579235,4,40
LSO,LESOTHO,LOW,1.17633845423292,6.8578,1.82371661724073,1000,0.658919797851,4.6,4,-18.6409772634891,33.1471389645777,8,4,-0.298651567564799,77.5956284153006,2.25,1.8
MDG,MADAGASCAR,LOW,0.498306752466754,9.442,2.9914369958266,462,4.47543168867541,3.1,6,-8.90050358048488,23.5820895522388,9.6,6,-0.842532901618658,78.6885245901639,3.75,1.6
MWI,MALAWI,LOW,1.08327527948071,8.0114,1.42814225481917,369,2.74171479187752,1.6,5,6.33948853647873,22.2983870967742,7.5,5,-0.139057810660103,77.0491803278689,2.25,6.5
MLI,MALI,LOW,0.312180402962316,3.3582,0.212132034355968,707,0.665582451691742,6.443,3,-3.8677869003653,28.4993303571429,3.3,5,-0.46066321420541,80.8743169398907,3.5,3.2
MNG,MONGOLIA,LOW,0.730964689347303,11.9462,2.20340645365306,2250,6.73403157848254,4.4923377623991,2,-27.4286069795951,33.92404561108,14.3,5,-0.425558264065122,48.6338797814208,1.5,1.61454115173653
MAR,MOROCCO,LOW,-0.299377602552267,1.8262,0.580480404492702,3020,1.08966563678956,5.2,3,9.10882437866884,28.3620515513898,3.294,6,-0.185239937431832,62.8415300546448,2.75,9.1
MOZ,MOZAMBIQUE,LOW,1.45552797848958,9.2334,1.67684426826106,496,0.353804748413579,6,3,-0.00431124879611112,42.609098567818,9,3,-0.5004585667767,72.1311475409836,3.75,3.8
NAM,NAMIBIA,LOW,0.717669950096988,7.0646,2.07468551833766,5850,2.67276055792508,3.5,3,40.4326023730032,34.3708809938641,4.6,3,0.229733822637687,40.4371584699454,1.5,7.7
NIC,NICARAGUA,LOW,1.26940162898514,9.635,1.56568834702184,1020,2.48173795957591,3.4,4,-0.589962725053921,74.7439077776156,4.5,6,-0.827785310573643,66.6666666666667,3,11.6
NGA,NIGERIA,LOW,0.571427818343497,10.6236,1.09061895270535,1570,0.739003518259547,4.3,2,8.11438281742256,5.00685550082102,8.5,6,-1.20576936037847,72.6775956284153,4.25,0.4
PAK,PAKISTAN,LOW,0.770848907098256,12.8724,1.47363156860867,1120,1.59042368568882,4.8,5,-17.7538864043378,27.7446707721459,12.473,7,-0.785570664925369,52.4590163934426,4.5,10.3
PSE,"PALESTINIAN TERRITORY, OCCUPIED",LOW,0.631254144969923,5.1914,0.319435752538721,2380,1.21955299187858,2.0791326581134,,-26.9231779945709,38.453954417064,4.8,,-0.204949241402059,69.9453551912568,4,
PNG,PAPUA NEW GUINEA,LOW,1.64165432799402,6.6562,0.64686165445173,1910,1.34424700111252,5,2,51.8682357493345,27.5074008288928,6.4,7,-0.932365363013054,53.0054644808743,3.75,13.7
PHL,PHILIPPINES,LOW,0.504954122091912,4.836,0.845945447413726,2210,2.55641277965825,12,2,-13.9228571058622,32.2750166852058,1.348,6,-0.541576613616906,73.224043715847,3.75,11.9
RWA,RWANDA,LOW,0.857264712225315,8.22,0.269537937960497,546,2.78026086905528,5.7,,14.155902023607,16.346123832931,7.5,,-0.312101915268797,27.3224043715847,3.75,
SEN,SENEGAL,LOW,0.292238294086843,3.0482,0.273861278752562,978,2.13309305938583,4.7,3,15.1221151567798,34.2623712537753,3.285,5,-0.405129073775747,85.792349726776,3,8.3
SLE,SIERRA LEONE,LOW,0.797438385598888,14.0756,1.85527086971146,326,1.21216017918425,5.2,4,17.2224758767963,27.843237704918,24.05,7,-0.940363767010687,81.9672131147541,4,25
ZAF,SOUTH AFRICA,LOW,0.837322603349841,6.5196,2.48174783167026,8270,2.60293363342211,5.1,1,-21.2489704974194,11.6456217741856,5.287,3,0.097393132436626,19.672131147541,3.25,5.7
LKA,SRI LANKA,LOW,0.292238294086843,10.9548,4.2513727194872,2880,1.84953434680192,4.2,2,-6.14187020054384,38.4055237453688,8,5,-0.0875763058791838,53.551912568306,3,10.4
SDN,SUDAN,LOW,1.68818591537013,12.9036,0.927978340264474,1500,4.61479173961296,0.3,6,-10.9259558598325,58.1389006087638,,6,-1.31996080632454,73.7704918032787,4.25,10.9
SWZ,SWAZILAND,LOW,0.551485709468023,7.718,2.35158340273101,3210,1.57663036251367,2.8,5,18.3644755555412,16.7426204039358,5,7,-0.49580703993402,67.2131147540984,2.5,1.7
TZA,"TANZANIA, UNITED REPUBLIC OF",LOW,0.677785732346034,9.8648,0.887823180593973,553,0.577093406650959,4,3,4.66763892641405,35.8789940944112,6.2,3,-0.511704621141283,68.3060109289618,3,3
THA,THAILAND,LOW,1.76130698124687,2.778,0.579355417684174,5110,3.99041466516952,8.5,1,8.75109901248143,23.8716724537037,2.795,6,-0.195707968074246,8.7431693989071,3.5,4
TGO,TOGO,LOW,0.817380494474362,3.5062,,586,0.992471662063959,4.8,6,12.4142839489108,56.493086981129,3.5,6,-0.922177633261014,86.3387978142077,3.25,5.1
UGA,UGANDA,LOW,1.81448593824814,10.7742,1.84023639785763,529,2.47233573771849,4.6,3,27.4723821501219,19.020626928699,14.5,5,-0.403338441020163,65.0273224043716,3.25,1.6
